r1 | a208c0f6444769bda0157e9c102202be8a016037,92775c995180594a0d7b4236f76a5b87ed659f30
r4 | e1a6afc35e4a144cac5c3b9a51a03f30e097c6db
r9 | 7ed9a937745da00e3eab68aa90a535b89f9000db,6a61911c8ed39220db73d7ece5de5e4778e36bf2,8caac82d93841f1ffc906f9f131ac2406fc2887c
r10 | ef0516fa6c48ad6f45432e5932ed4b7ab0a4cbcd
r11 | 596ee224c0a1591edc725759f9d817f27d4e49f9
r12 | 8e9a133692774e34178674e0d117d2062ac9c991
r13 | 15005e31dbb7ad71a43edd90739826b67503f05e
r14 | e2add8d0477eb883bf6645f27690db13825c9157
r15 | 4e219826b0906f2a729602df5b39b2a8d111347c
r16 | ae48b8a7c8ac99ab6f3a0fb534e7954dd66a1332
r17 | 5bb152161cb7d0a24e8f0151747e0cdfbe509d6d
r19 | d6b87809e3183a9348073dac338ab50ca1ffe957
r20 | ffcfac0dd04511abb4ef04e5f29bc8271774c3ef
r21 | 9a890a65cff0fc7b1d63dcbcb1e72ea8f7918932
