r1 | 6b5eb479307846caa3274907e29197c47427174e,bffb4ba254f872c4efef2a8d30f4bc88d89ae046
r2 | 2cde896196fb5c58b84bc00d5e083c1f1ff5507b
r3 | 
r5 | 586f904694e5461b8aac0307d8bea17c476df273
r6 | 2d247d37c0aa8d70022bdbac4e9ac422d66f1b31
r7 | e3af5993f9632b51dbff22dd94320590b1d0ed2c
r8 | 11bc0e4a1d7203b510188c6b887a2fdcdf31fa5e
r9 | f2a299beba9b9bb430a0b3530dae8d99f67fd0be
r10 | 050b239ef9e8f0c148eacee8a7b43fb1b307e953
r11 | 1bf7a14b2b4a07c583db7aa651387e98a2bea0e8
r12 | ce22ea54b48add7bc58c139395d9a59e36f93d75
r13 | 4b432050dd7e816f2da534d116d995ffd365e82f
r14 | 774fd50a1ccefde1115eb5c79208d48280bd32a0
r15 | fb9c7accddfb00c3b0e1f301f277149ec52186e2
r16 | 27e76be95e28bf5101bb6db0b0532a7a373a5fd3
r17 | 96d819052871ecb8100baa711b647a33fa046b62
r18 | de65e9d37338ce498a74f20e1ebe0b92c3bb7fed
r19 | 875ae45f9e2c04f7443a5b2c888bcb252c299cba
r20 | b6ad74b3f94a054c76dbd17e7ed978698bb1b1f1
r21 | 53b9cd57eb95e75f689cbad27e6d068613074b01
r22 | ec9e3e242040d5dd67c3580df469addf8585029b
r23 | 726e2dfebe0d41c76190c57b0d06dce273c2c5bf
r24 | 62dae43c1b39c1f7f056a5bbbec4a824b4b752ad
r25 | c9dccabef457620c80674eb4854c2453d603c5a8
r26 | a47e60088508fc2cb30e23ede133f757e1871675
r27 | d8a6b56f376bf710b0f3599e0edc040d7290a581
r28 | fc3c7da920679053b04f5395649ba13f55f9aff7
r29 | 266aa1fcfb5c28e50da94027884165bb6a3753bc
r30 | 9773a808b99641865fc6af66d61fd745db0867d3
r31 | cc5d93559c3e6195544deb105db8105036983df1,86db594851a2f0f4fac44109695c593bbda99834,3c01c3d49822acfd67ce481ef3e619c990d534d0,ecf92aaa0754371803ed3f6ef583e8122758b00d
r32 | a8aa0ad7ba6c88ec045f56602ee45c0bd8c06d08
r33 | 3d5d3197c503e1ffe20ed7afddcba20fef98ead7
r34 | f5281e863b8fdf2dc4cb19780c7dbc1939ce802d
r37 | dc6986ae965a120238d44de15ce280873e2201f8
r38 | 79ca52dbdaf4fbec57ccd8f02c26f89c925a836b
r39 | a7466cfb879f117a6a9a99b7396e5b6713394140
r41 | 3419141a2be084bccf7e1bd7676896d3cdede7a9
r42 | c3d514185f1d12eccd5df10b927e98c3c0548970
r43 | fc975b25a1388772129681c99f9d1757bdadeb7c
r44 | aeeb8bfe4db9164c281f55946ed2514a4d5ac980
r45 | d2869bf79b783e83e092cb9bb7d274409ec00409
r46 | 2c958f8402e03f6eea520098e1ef547cbec6b632
r48 | 10e8afb6656e0e660cdcc74a9d85fc2d3ef263aa
r49 | e213a3c135af758add0bc0b3546e1b84e8a23961,5ca4a162f747ef41a7313bea65d09519566747b2,1bd053263233a89321bed895da6990d06a1c5763,b9b4c03b2869deea204c1a7c5c0861abd7540001
r50 | bd858d5e605f681e0d123dcf2279c3fdbc966aa3
r51 | 5e42619ddae93052db60faecd7ed9e01742674ba
r52 | 634903fa374a12bf871afe537444c75a1d409237
r53 | 21fdc715f83187fd2216e38f34744d4e291adff2
r54 | b25a26a98f2c0b44608d5c665180691e4f3ef650
r56 | ec5e67d2cd7dabcda183d27b1e4b4a04b160ef0f
r57 | e393fda0c447ab003e32ab9d8ee0020d545bb4cd
r58 | 76504094286e2057c87dca8a27dee5f30c203791
r59 | e330aedef8e78baa56ab4ac62ea3160e8b5f7953
r60 | ef5dc2d85f6d3c8cfcb60c06846315d5e9da2939
r62 | 7fe8229063a0f9ab9adae58efdb8973c0d2778dd
r63 | 3cb0c88b6e0b760b4b5bfbbe9074d291620268c3
r64 | 3382a9c4c4cff2bcc2b6d207d1922bd635d40549
r65 | 68a1ce495f754349dd2b3090d9d63cdd62824590
r66 | 24c0867132d018318df8a0782eb230e57b0de5f4
r67 | eedf1027b68c214dced1db863e3b3097d335ecd6
r68 | 822d019875deb2c81c81483dd78801aa33af5942
r69 | 9fe590a20f3553ea43dfc62ed619a3e613d92281
r70 | e22c549086b746cf0c32e8ac17dcf684553d59e0
r72 | ffe2a61f38a39259096600830333d72bf64a7cfb
r73 | e8adc006e40b32dce0287f75d5a7625253d7c65a
r74 | 5cf3fd8458278dfcb2b21c754056abd17d7176d8
r76 | b3338cb1b1eb1efdf8e2f982c717b9c769799750
r77 | adc792efd13a6c5fdbb037580fbe6833fd173100
r78 | 31ef0d798a963a05562accfb4a21c3be3540a792
r80 | 57a72a4865aba5c4c6cd962fa4356eb950fc7a3e
r81 | 312569ae3cdac56e23a39acbbe491ed77fed71ab
r82 | b4ce0d1e619f777b9242d3ae83d8421ab62a0d9c
r84 | 153f0d39dc7bee1352895d35b250ba105ca76abc
r85 | 9d33651fe2cb39adaed1b6f2a2f4cb7e0552f350
r86 | 68e3912a7ee164e3b4b827675ee6bf6e10bf1e28
r89 | 495f39251367a51fb43fe72b554e5df8e730ff9a
